z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H,O,HO2,CH3,CH2O,C2H4,C2H6,CH4,CO2,H2O,O2,H2,CO,OH,CH2,CH2(S),HCO,CH3O,C2H5,N2
0.0067819148936170207,-0.77487805806423671,342.75917742112625,1857.0858083961866,0.1717598468700912,0.00024767393110929905,4.7443981946838358e-06,2.0147471266280711e-06,0.0035642355542385294,0.00017581367406525387,0.012687149721458487,0.00057122577657558549,0.037675075887672015,0.05686465645298186,0.16331563612835936,0.0087019527113229612,0.024906549346559351,0.042243041661871671,9.6327209909148685e-05,1.633830573474641e-05,8.5581048963812705e-07,1.5033646197635216e-06,2.0695909489648068e-07,3.1626621645574696e-05,0.64889337173697037
0.0068085106382978723,-0.79851636910510448,340.03551314200735,1876.2391670717327,0.17056784739720374,0.0003463732651398128,7.4570891042509746e-06,2.4329153903416831e-06,0.0037440703415311679,0.00018661107707995,0.012040280133287565,0.00045995543352519855,0.030304784431508369,0.057386385323841424,0.16462487487313465,0.0089669173786884691,0.0246056396423622,0.042474681204206735,0.00014639487828548353,2.4386616012490773e-05,1.3194686803687915e-06,2.1308748940608513e-06,2.4874710059440941e-07,3.3520420893220847e-05,0.65464153588533358
0.0068351063829787239,-0.82162568352580923,337.23191550065559,1894.0105880463298,0.16949806687767868,0.00048649560312125382,1.2083373279546004e-05,2.9879258512642375e-06,0.0038320689778101901,0.00019829840569986104,0.011232657171475978,0.00035406630402288943,0.023673049916377188,0.057888373255435673,0.16579407535524379,0.0093011910675922429,0.024156999373380707,0.042618356591692996,0.00022562553552123868,3.6080583996532136e-05,2.0100172853242147e-06,3.0688147703539697e-06,2.957739295413591e-07,3.373651116538479e-05,0.66014847944234811
0.0068617021276595747,-0.84395134507660075,334.35104135364065,1909.8985495762217,0.16859189220681958,0.00068211268719702977,2.0272484297376922e-05,3.726641803448505e-06,0.0037854899707196773,0.00021035910506017461,0.010255113145622776,0.00025700769290949358,0.01785626676378237,0.058371405688642082,0.16678219910142725,0.0097376860543487154,0.023528300629226003,0.042639758779974439,0.00035042774431808389,5.2183410488510118e-05,2.9807460578569701e-06,4.4645211282429839e-06,3.4509335652199483e-07,3.1640935489504412e-05,0.66542825880415057
0.0068882978723404254,-0.86513398245692608,331.39491289225299,1923.2034284763311,0.16790741549663968,0.00094647738803667954,3.5266564346056171e-05,4.6990559267259928e-06,0.0035666014883391044,0.00022170043351487062,0.0091099977910557677,0.00017303200139951475,0.012923612841935543,0.058834040668236533,0.16753265878290216,0.010324825408586384,0.022687918131658477,0.042488492178437115,0.00054294008148236925,7.2307996064261071e-05,4.2134406396138726e-06,6.4923499034733338e-06,3.8998625911109641e-07,2.7052367190819388e-05,0.67049728104408524
0.0069148936170212762,-0.88470382075797793,328.36477618042807,1933.0271503841113,0.1675196364484602,0.0012870830035697368,6.332143507876689e-05,5.9452435737246408e-06,0.0031602973525160023,0.00023038218258073228,0.0078183077590115949,0.00010605150463851216,0.0089167252590796209,0.059269581217584445,0.16797290845489279,0.011131883745211095,0.021611131681180402,0.042093613714824694,0.00082915755536374703,9.3691933269354438e-05,5.5364831297714873e-06,9.2963890100142719e-06,4.1920018397393005e-07,2.0589487251011961e-05,0.67537407639804992
0.0069281914893617015,-0.89367160355117181,326.82211276584252,1936.2318093229358,0.16747156796625678,0.0014844537646477812,8.6415004007334007e-05,6.6769095045351115e-06,0.002895447567081742,0.00023270030304026087,0.0071337931328664108,7.9718964946546561e-05,0.0072588972561868168,0.059470938335436097,0.16804393324940475,0.011655221635895512,0.020979530779228515,0.041768269247131298,0.0010169320033223911,0.00010284621253661443,6.1188846440222327e-06,1.1012549176772672e-05,4.2386276070425828e-07,1.7124844064531238e-05,0.67774954549411748
0.0069414893617021269,-0.90201745071019734,325.26071160041204,1938.1582064647073,0.16753228492381753,0.0016972830099409014,0.00011813568487249981,7.4712588542737322e-06,0.0025979184352852352,0.0002330104009641213,0.0064331916654303996,5.8136198805093387e-05,0.0058267143102236707,0.059657424470526813,0.168003426826766,0.012272467330345604,0.02028719772954576,0.041344310191758236,0.0012370060969370785,0.00010983437086223797,6.5712205035575232e-06,1.2887048669638122e-05,4.1951541138761934e-07,1.3736244168069303e-05,0.68008285799012935
0.0069547872340425532,-0.90966488992229677,323.68046710697644,1938.668878566956,0.16771401838329386,0.0019219081414153596,0.00016159780590357755,8.3128318425571329e-06,0.002278637552328724,0.00023065777908627569,0.0057272385543797669,4.1037335489299333e-05,0.0046090475755864013,0.059824190065460553,0.16783960106938844,0.012999602367974941,0.019536716486134802,0.040807782981163755,0.0014909225770656726,0.00011363022544278381,6.8324952301341879e-06,1.4846085154252425e-05,4.0499270710542384e-07,1.0613994472996336e-05,0.68237641908377267
0.0069680851063829785,-0.91654005308408981,322.08121496593003,1937.6344315340452,0.16802877660740861,0.0021534768453640944,0.00022048107822682852,9.1779439799979177e-06,0.0019504500516347187,0.0002250193428545893,0.0050281102807646326,2.7980123181371621e-05,0.0035910762652112175,0.059965062725244558,0.16754110535715092,0.013853828852271915,0.018732437272557991,0.040145213123551349,0.001778712913661753,0.00011345659368957671,6.855888015798515e-06,1.6770604711873576e-05,3.8007263292994424e-07,7.8971402636435775e-06,0.68463250752503013
0.0069813829787234039,-0.92257525651129058,320.46273676154749,1934.9402979361921,0.168487911580094,0.0023861315913728007,0.00029884007757362361,1.0034315416661228e-05,0.0016269561818749638,0.00021560596719398439,0.0043487889292176379,1.8394662851696092e-05,0.0027549557216528992,0.060072521925509693,0.16709745807320278,0.0148530668812905,0.017880584362675957,0.039344900594840214,0.0020984655044342417,0.00010897085296228833,6.6201276882085141e-06,1.8496930091943737e-05,3.4566666852984799e-07,5.6617972201101696e-06,0.68685319983626114
0.0069946808510638302,-0.92771329052101859,318.82477104648683,1930.4954348941469,0.16910151311151,0.0026133625091988777,0.00040066911299328452,1.0843004499981213e-05,0.0013211148196039632,0.00020220455718529242,0.0037021770305910697,1.1645265450894414e-05,0.0020806911362210839,0.060137811152120316,0.16649956709815139,0.016015247367869131,0.016989283579817806,0.038398546951495659,0.0024459376569353369,0.00010040336861731482,6.1375343602029019e-06,1.9831706204454023e-05,3.0387130003630429e-07,3.9208626404485912e-06,0.68904030141474348
0.0070079787234042555,-0.93191246063132605,317.16702688661491,1924.2418465972992,0.16987769946255377,0.0028285088885385973,0.00052923320919278922,1.1563265423738094e-05,0.0010438065420866752,0.00018501921306422531,0.0031000689760582139,7.0954546052082003e-06,0.00154712817106248,0.060151213808238464,0.16574031281604376,0.017357409369917649,0.016068466919014222,0.037303030452520661,0.0028143305094709414,8.8574102504866705e-05,5.4550220784257384e-06,2.0585533878603646e-05,2.5774656620599537e-07,2.6350450918142354e-06,0.69119530495464243
0.0070212765957446809,-0.93515139298732497,315.48920470199403,1916.1640268736917,0.1708218402747174,0.0030253360385566071,0.00068629237903708896,1.2159966203694731e-05,0.00080266664956573329,0.00016474341885692131,0.0025521515660999489,4.1623411458553013e-06,0.0011329431243276076,0.060102492731267686,0.16481513081627167,0.018894662637349138,0.015129599961490787,0.036061963318452996,0.0031943581963115768,7.4750143457760578e-05,4.6459669627553572e-06,2.0617783416810905e-05,2.1081961376094801e-07,1.7315067778299303e-06,0.69331938063483378
0.0070345744680851063,-0.93743275270616278,313.79102017862317,1906.2951987509975,0.1719359429859924,0.0031985857821700031,0.00087141832626618778,1.2611917749954329e-05,0.0006014375521454121,0.00014250997531846087,0.0020652103887223703,2.3544207947485926e-06,0.00081755695874360717,0.059981462381587844,0.16372248901611461,0.020639117540967925,0.014185186053141093,0.034686596732559201,0.00357472644857154,6.0372096079092725e-05,3.7945311436187125e-06,1.9879824321784681e-05,1.6642195841669176e-07,1.1241329797785807e-06,0.69541339949866432
0.0070478723404255317,-0.93878422245537085,312.07223227187046,1894.718271127382,0.173218363715299,0.003344380938686207,0.0010816438262842665,1.2918318019800861e-05,0.00044002568488795931,0.00011970674804106347,0.0016426916061703838,1.2876838639442882e-06,0.00058189076417748036,0.059778625670693086,0.16246414926966393,0.022598934254577145,0.013248056179172447,0.033195685715172618,0.0039430170880698284,4.6745616284753699e-05,2.9780763898048902e-06,1.843576717094781e-05,1.270955804185333e-07,7.3017997024314281e-07,0.69747796951712371
0.0070611702127659579,-0.93925634291604065,310.33266955033287,1881.5596123790147,0.174664035903328,0.0034604077179814568,0.0013115890249488927,1.3100681207589926e-05,0.00031520998811030175,9.7710076905807024e-05,0.0012846814767984063,6.8366059086908227e-07,0.00040892839927203847,0.059485790391789098,0.16104512046897346,0.024777641014150739,0.012330524733309907,0.031614196677173495,0.0042868617788652643,3.480314925726126e-05,2.2531048371590861e-06,1.644969800739695e-05,9.4252769301033113e-08,4.8056664340922112e-07,0.69951347313840795
