z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,N2
0.0052173913043478265,0.15930023617861344,150.02392426357591,537.27615808492033,0.3990526700774944,0.0090788869570709776,7.0044528619515958e-09,2.6602149168367681e-14,0.00039238649333082665,1.3289740651746371e-11,0.03511642671350413,1.11272516764719e-08,8.8142997137348956e-11,2.1886497193817661e-14,0.00028940375885163228,0.83263554633150694,0.0093478769770201555,0.0085225343524920703,1.3880328846096458e-10,4.683356640011126e-06,1.7302330904882772e-12,0.10461223668586399
0.005434782608695652,0.11581416461448935,166.89904446971943,685.33219855081495,0.33238437517871905,0.011331714763806228,9.9401963657445232e-08,2.4458928726564582e-12,0.00063523925561979541,2.476469834511643e-10,0.05437409470455442,5.129721517348979e-08,1.0275460136463096e-09,1.0231514724503848e-12,0.00046736664315597025,0.72831804685072488,0.015251270828712127,0.014939070346659233,1.4404202960629821e-09,8.13052781422904e-06,2.6768511547340686e-11,0.17467491263392332
0.0056521739130434784,0.053640044379481194,181.49232577471835,856.07771908972268,0.28395879982363764,0.013411703751845503,5.4813783843049362e-07,5.547455652641907e-11,0.00089941744207159766,3.6591149389583044e-09,0.074017997416642306,1.3450418487206473e-07,7.2701185191224236e-09,2.1231929884644875e-11,0.00070456415693857897,0.61220570759009441,0.02171112092294173,0.022304406423129256,5.2904380275048269e-09,1.2006496066145965e-05,1.7595530343884981e-10,0.25473237668591386
0.0058695652173913048,-0.025455804922692494,191.60180913863252,1039.5593142500634,0.24869228048159167,0.015316076477611852,1.5367998317549096e-06,3.9139654075852928e-10,0.0011588432527043953,3.4767061198670399e-08,0.092424352068828014,2.0866539550317325e-07,3.8859246445282179e-08,2.611227419083331e-10,0.001078378318396747,0.49641283724048485,0.028050725188213773,0.02969375730684963,1.0046978231102709e-08,1.6084463039315848e-05,8.4594297145498565e-10,0.33584711504689624
0.0060869565217391303,-0.11785274720571921,196.80139563339284,1227.4750936660962,0.2223174476142793,0.017072532221569785,3.4764773684931482e-06,1.7252928499919712e-09,0.001400833253396271,2.2421146718557568e-07,0.10900445392884578,2.597635277352493e-07,1.7425865411122079e-07,2.1724252982088288e-09,0.0016439156365835462,0.38890904532714859,0.033890377701526461,0.0365214475452669,1.8157632242673455e-08,2.1116109452133669e-05,3.3087394061291777e-09,0.41153211820110325
0.0063043478260869567,-0.21938815893632699,197.86838164399902,1410.8663044991797,0.20248025719373544,0.018711972782170523,7.4892588179589696e-06,6.4200931773049761e-09,0.0016263735699171651,1.0679615975327144e-06,0.12377046753500875,3.0644623319341371e-07,6.6985056854055989e-07,1.3125168166845687e-08,0.0024202510787270908,0.29272172094250115,0.039113986157499656,0.042591578607260684,3.6632760776240571e-08,2.950676936529466e-05,1.0557993048515391e-08,0.47900454230431722
0.0065217391304347831,-0.32600609695386368,195.65244121547718,1583.0948509972916,0.18743033685908403,0.020252377979785709,1.6312737130507227e-05,2.311941319798424e-08,0.0018481148577720746,4.146664857518703e-06,0.13682844857896354,3.8300283544813182e-07,2.3205851734784976e-06,6.3451442453532044e-08,0.003428734625116496,0.20873206450905304,0.043678438219232917,0.04785469570646305,8.4629575383737839e-08,4.6211743259641742e-05,3.2923382280803875e-08,0.53730754666654335
0.0067391304347826086,-0.43405969995687915,190.88212568245714,1739.3712025255506,0.17595985917003432,0.021677194869858092,3.7543399977383831e-05,8.8907001768273965e-08,0.002102483667558744,1.438558670149193e-05,0.14828476739121818,5.2595931118927737e-07,7.6467632610548901e-06,2.6823723326221545e-07,0.0046702335135101105,0.13671563583830801,0.047528911583636112,0.052335472099132779,2.2276222242158564e-07,8.0874985561163278e-05,1.0568273825893855e-07,0.58654363875277005
0.006956521739130435,-0.5405653323854237,184.13402412978704,1877.3123676622929,0.16717818748089472,0.022833997420391855,9.4051212869283369e-05,4.0118287197776992e-07,0.0024939818117770763,4.8418125379408275e-05,0.15820123891596699,8.0909172284956648e-07,2.4308796497010167e-05,1.0320767835147046e-06,0.0058913777373955957,0.076259028376346405,0.050453795320715165,0.056131504476361088,6.5353800528600753e-07,0.00015276266341143559,3.4434105541113183e-07,0.62741229491244976
0.0070652173913043487,-0.59220442003265616,180.14678502508221,1938.7220720751666,0.16366211473310946,0.023120114161514247,0.00016311917607990482,1.0201993243232986e-06,0.0028832286507065046,9.4342857550431855e-05,0.16260844525671764,1.1315830295984487e-06,4.4678958151638043e-05,2.0532338290580953e-06,0.0063042747891555936,0.050142686066674269,0.051245620861434686,0.057900151461859679,1.2401222101530924e-06,0.00021966312104733152,6.4895105040534872e-07,0.64526758054966449
